"Table S1. Metadata of 122,680 filtered Salmonella enterica genomes."			
Genome ID	Serotype	Isolation Source	Country
GCA_028853305.1	null	Animals	USA_MS
GCA_020989505.1	Derby	Animals	Germany
GCA_020989405.1	Derby	Feces	Germany
GCA_020989455.1	Derby	Feces	Germany
GCA_007466555.1	Typhimurium	Animals	USA_NE
GCA_007544835.1	Cerro	Animals	USA_MN
GCA_007623275.1	Typhimurium	Animals	USA_NE
GCA_019855955.1	Muenchen	Animals	USA_NE
GCA_019856055.1	Soerenga	Animals	USA_NE
GCA_019856735.1	Dublin	Animals	USA_MN
GCA_019080305.1	Muenchen	Animals	USA_TX
GCA_019088345.1	Brandenburg	Animals	USA_TX
GCA_019109465.1	Muenchen	Animals	USA_TX
GCA_019110705.1	Muenchen	Animals	USA_TX
GCA_019224415.1	Montevideo	Animals	USA_TX
GCA_019233355.1	Montevideo	Animals	USA_TX
GCA_019239655.1	Mbandaka	Animals	USA_TX
GCA_019254765.1	Lubbock	Animals	USA_TX
GCA_020001945.1	Montevideo	Animals	USA_TX
GCA_020002145.1	Give	Animals	USA_TX
GCA_020018055.1	Muenchen	Animals	USA_TX
GCA_020018095.1	Muenchen	Animals	USA_TX
GCA_020018315.1	Typhimurium	Animals	USA_TX
GCA_020018435.1	Newport	Animals	USA_TX
GCA_020018445.1	Montevideo	Animals	USA_TX
GCA_020018535.1	Give	Animals	USA_TX
GCA_020018555.1	Muenchen	Animals	USA_TX
GCA_020018595.1	Typhimurium	Animals	USA_TX
GCA_020018615.1	Typhimurium	Animals	USA_TX
GCA_020018635.1	Montevideo	Animals	USA_TX
GCA_020081505.1	Newport	Animals	USA_TX
GCA_020081845.1	Newport	Animals	USA_TX
GCA_020082685.1	Muenster	Animals	USA_TX
GCA_020082825.1	Muenster	Animals	USA_TX
GCA_020083325.1	Newport	Animals	USA_TX
GCA_010002405.1	null	Animals	Canada
GCA_010002425.1	null	Animals	Canada
GCA_010002445.1	null	Animals	Canada
GCA_010002485.1	null	Animals	Canada
GCA_010002565.1	null	Animals	Canada
GCA_010380285.1	null	Animals	Canada
GCA_010380485.1	null	Animals	Canada
GCA_010380745.1	null	Animals	Canada
GCA_010380765.1	null	Animals	Canada
GCA_010380805.1	null	Animals	Canada
GCA_010380885.1	null	Animals	Canada
GCA_010381625.1	null	Animals	Canada
GCA_010381665.1	null	Animals	Canada
GCA_010382065.1	null	Animals	Canada
GCA_010382925.1	null	Animals	Canada
GCA_010383045.1	null	Animals	Canada
GCA_010383145.1	null	Animals	Canada
GCA_010383685.1	null	Animals	Canada
GCA_010400065.1	null	Animals	Canada
GCA_010400105.1	null	Animals	Canada
GCA_010400245.1	null	Animals	Canada
GCA_010400885.1	null	Animals	Canada
GCA_010401335.1	null	Animals	Canada
GCA_010401425.1	null	Animals	Canada
GCA_010406965.1	null	Animals	Canada
GCA_010407275.1	null	Animals	Canada
GCA_010407405.1	null	Animals	Canada
GCA_010408785.1	null	Animals	Canada
GCA_010414065.1	null	Animals	Canada
GCA_010414165.1	null	Animals	Canada
GCA_010414185.1	null	Animals	Canada
GCA_010414365.1	null	Animals	Canada
GCA_010414385.1	null	Animals	Canada
GCA_010414505.1	null	Animals	Canada
GCA_010414685.1	null	Animals	Canada
GCA_010414725.1	null	Animals	Canada
GCA_010414765.1	null	Animals	Canada
GCA_010414785.1	null	Animals	Canada
GCA_010414825.1	null	Animals	Canada
GCA_010415125.1	null	Animals	Canada
GCA_010415185.1	null	Animals	Canada
GCA_010415385.1	null	Animals	Canada
GCA_010415465.1	null	Animals	Canada
GCA_010415705.1	null	Animals	Canada
GCA_010416205.1	null	Animals	Canada
GCA_010416565.1	null	Animals	Canada
GCA_010416665.1	null	Animals	Canada
GCA_010431515.1	null	Animals	Canada
GCA_010431575.1	null	Animals	Canada
GCA_010431855.1	null	Animals	Canada
GCA_010432235.1	null	Animals	Canada
GCA_010432315.1	null	Animals	Canada
GCA_010432415.1	null	Animals	Canada
GCA_010432455.1	null	Animals	Canada
GCA_010432495.1	null	Animals	Canada
GCA_010432555.1	null	Animals	Canada
GCA_010432945.1	null	Animals	Canada
GCA_010433295.1	null	Animals	Canada
GCA_010433435.1	null	Animals	Canada
