Œª÷√	longitude	latitude	Soil	Sediment	Feces	Water	Food	Animals	Others	Sum
USA_TX	-99.314356	31.769057	0	55	4881	7	3678	2268	150	11039
USA_CA	-119.698561	37.541453	0	124	729	283	6447	1077	1100	9760
USA_GA	-83.639859	32.862671	79	127	1715	1302	3816	542	335	7916
USA_NC	-79.077329	35.552457	255	122	1919	311	2649	1283	422	6961
USA_MN	-94.38388	47.197061	0	0	4260	2	2340	962	100	7664
USA_NY	-75.545048	42.9772	35	4	4178	23	2230	150	374	6994
USA_PA	-77.605546	40.833486	4	16	489	879	1319	1221	37	3965
USA_VA	-79.48207	37.6293	23	499	225	967	1539	574	194	4021
USA_MD	-77.026031	38.920047	15	0	901	971	1037	496	18	3438
USA_TN	-86.436248	35.972327	2	0	453	4	2160	850	10	3479
USA_OH	-82.977556	40.665585	31	82	883	10	2145	844	207	4202
USA_WA	-120.618426	47.621695	21	0	3028	137	1941	302	482	5911
USA_IL	-88.975075	40.356658	0	0	341	10	2489	1042	206	4088
USA_WI	-89.41661	44.996006	0	0	394	2	2498	1007	84	3985
USA_FL	-81.459779	28.051524	127	34	1274	234	1314	382	73	3438
Canada_BC	-123.672377	55.943413	0	0	4137	4	192	117	10	4460
Canada_Ontario	-87.208935	52.089728	0	0	767	5	292	669	39	1772
Canada_Quebec	-72.785454	52.540731	0	0	2068	4	292	218	19	2601
Canada_Manitoba	-97.732188	55.360883	0	0	1084	5	21	255	7	1372
Canada_Alberta	-113.618254	58.946905	0	0	68	4	44	89	0	205
Canada_Newfoundland	-66.309605	54.897053	0	0	68	4	0	88	0	160
United Kingdom	-2.989013	53.626596	0	5	160	26	2923	908	429	4451
China_guangdong	113.948805	23.827645	0	0	521	0	893	2	0	1416
China_taiwan	121.013367	23.759927	0	0	283	0	148	113	16	560
China_zhejiang	120.277475	29.187894	0	0	131	3	181	56	0	371
China_jilin	126.311788	43.729016	0	0	277	0	14	0	0	291
China_shandong	118.511334	36.449434	0	1	180	5	53	66	1	306
China_henan	113.801626	34.15724	2	0	48	7	133	62	0	252
China_shanxi	108.429616	33.850786	0	0	98	0	147	0	0	245
China_xianggang	114.169572	22.398172	0	0	116	0	13	9	0	138
China_fujian	117.849031	25.975369	0	0	14	0	35	45	0	94
China_hunan	111.152415	27.888176	0	0	0	0	88	0	0	88
China_guangxi	108.650383	23.895328	0	0	41	0	22	0	0	63
China_jiangsu	119.615172	33.666378	0	0	9	3	18	7	1	38
China_liaoning	122.632329	41.445464	3	0	19	0	0	5	0	27
China_beijing	116.450837	40.328503	0	0	17	0	16	3	0	36
Chile	-69.607321	-24.748386	0	0	80	1978	154	0	129	2341
Brazil	-53.932824	-8.493982	2	0	249	1076	642	147	4	2120
Mexico	-104.249431	25.642817	9	31	55	1071	665	3	227	2061
Germany	10.293835	51.127892	0	1	152	0	525	741	214	1633
Australia	135.800194	-25.184446	0	0	650	1	78	72	51	852
India	79.578055	20.845078	0	0	15	1	278	489	8	791
South Africa	24.974878	-30.708533	0	0	442	48	60	101	73	724
Nigeria	8.785256	9.8673	0	0	376	1	101	152	33	663
Viet Nam	108.756167	13.241249	0	0	1	6	342	10	5	364
Singapore	102.243524	1.809656	0	0	216	27	36	77	2	358
Ethiopia	40.171045	8.807425	0	0	251	0	91	2	2	346
Thailand	100.771741	16.63948	0	0	74	0	179	14	28	295
Fiji	177.930004	-17.827466	0	0	11	0	3	241	0	255
Indonesia	119.757751	-3.374408	2	0	1	0	232	1	17	253
Colombia	-72.937232	3.432086	0	0	30	0	114	73	3	220
Bangladesh	91.646681	24.436021	0	0	2	1	68	148	0	219
Ecuador	-78.456421	-1.381591	0	0	11	0	110	7	90	218
Ireland	18.683002	52.787166	0	0	71	26	55	14	45	211
Switzerland	7.828597	46.996434	0	0	135	1	21	22	1	180
Japan	139.921188	36.983123	0	0	53	2	118	6	0	179
Peru	-75.200099	-10.466642	0	0	65	0	28	62	19	174
Italy	11.581646	43.054406	0	3	33	2	30	74	0	142
Turkey	34.68865	40.070596	0	0	0	0	130	0	5	135
Pakistan	70.01146	30.307196	0	0	49	0	37	38	4	128
Cambodia	104.855941	13.024867	0	0	0	0	0	5	122	127
Spain	-4.198636	42.352624	0	0	31	0	40	0	49	120
South Korea	127.820366	36.002232	0	0	13	0	76	5	23	117
France	0.805429	47.770743	0	0	33	0	69	7	0	109
Malaysia	101.806589	5.173369	0	0	32	1	16	60	0	109
Democratic Republic of the Congo	22.661418	0.512788	0	0	0	0	0	103	0	103
