Digestive system	Marine	Freshwater	Soil	Roots	City	Nest	Others	Sum	pie-r	Country	region	longitude	latitude
1	0	0	3	0	0	0	3	7	3.807354922	Canada	Alberta	-114.744543	55.447899
10	9	2	0	0	0	0	0	21	5.392317423	Canada	British Columbia	-124.605494	55.573183
0	0	3	0	0	0	0	0	3	2.584962501	Canada	Ellesmere Island	-77.361236	79.999085
0	1	0	0	0	0	0	0	1	1	Canada	North Atlantic	-61.833917	61.058837
0	1	0	0	0	0	0	0	1	1	Canada	Northeast Subartic Pacific ocean	-154.409115	53.344374
0	0	12	0	0	0	0	6	18	5.169925001	Canada	Ontario	-87.001419	52.274206
0	0	21	0	0	0	0	0	21	5.392317423	Canada	Qu¨¦bec	-74.123312	52.002517
1	0	0	0	0	0	0	1	2	2	Canada	Toronto	-115.406846	53.738883
0	0	0	0	0	0	0	1	1	1	Canada	Vancouver	-124.826262	54.302227
0	3	0	0	0	0	0	0	3	2.584962501	Canada	Western Arctic ocean	-136.821299	71.685421
8	0	0	0	0	0	0	0	8	4	China	Beijing	116.547968	40.473547
0	1	0	0	0	0	0	0	1	1	China	Bohai Gulf	120.153839	38.996354
0	1	0	0	0	0	0	0	1	1	China	East China Sea	123.61253	28.382546
0	0	0	0	0	0	0	1	1	1	China	Henan	114.193114	33.640408
0	8	0	0	0	0	0	0	8	4	China	Shandong	117.872574	36.245713
31	0	0	0	0	0	0	0	31	5.95419631	China	Shanghai	121.625622	31.206404
0	0	0	0	0	0	0	1	1	1	China	Shanxi Taiyuan	112.059028	37.311269
0	0	0	0	0	0	0	1	1	1	China	Sichuan Basin	103.007558	30.699
8	0	0	0	0	0	0	0	8	4	China	Zhejiang	120.153839	28.837147
0	0	1	0	0	0	0	0	1	1	USA	Alabama	-86.817992	32.793255
1	2	2	5	0	0	0	0	10	4.321928095	USA	Alaska	-151.926026	65.168527
1	0	0	0	0	0	0	0	1	1	USA	Arizona	-111.562356	34.622904
62	50	1	5	9	0	0	45	172	8.426264755	USA	California	-119.289221	37.314489
0	0	1	7	0	0	0	69	77	7.266786541	USA	Colorado	-105.085962	39.375782
0	4	0	0	0	0	0	2	6	3.584962501	USA	Delaware	-72.210538	42.523396
0	1	0	2	0	0	0	2	5	3.321928095	USA	Florida	-81.427038	28.146349
0	90	21	0	0	0	0	2	113	7.820178962	USA	Georgia	-83.3593	32.575429
3	0	0	0	0	0	0	6	9	4.169925001	USA	Illinois	-88.997526	40.107243
0	0	0	2	0	0	0	0	2	2	USA	Indiana	-86.597224	40.251455
0	0	1	0	0	0	0	0	1	1	USA	Lake Superior	-87.8109	47.532211
0	0	2	0	0	0	0	0	2	2	USA	Louisiana	-91.941094	30.53988
170	0	0	0	0	0	0	2	172	8.426264755	USA	Maryland	-77.039283	39.125448
0	3	0	7	0	0	0	0	10	4.321928095	USA	Massachusetts	-71.878841	42.315933
1	0	6	0	53	0	0	11	71	7.14974712	USA	Michigan	-85.106498	43.873091
0	0	5	8	0	0	0	0	13	4.700439718	USA	Minnesota	-94.65524	46.952359
0	0	0	0	2	0	0	0	2	2	USA	Nebraska	-99.328154	41.92171
0	0	0	0	0	0	0	3	3	2.584962501	USA	New Jersey	-74.914395	40.2836
0	0	2	2	0	0	0	2	6	3.584962501	USA	New Mexico	-105.767208	34.805211
0	0	19	0	0	77	0	0	96	7.584962501	USA	New York	-75.853203	43.09234
0	15	1	3	0	0	0	1	20	5.321928095	USA	North Carolina	-79.504521	35.572183
0	0	11	0	0	0	0	0	11	4.459431619	USA	Ohio	-82.678055	40.508663
0	0	0	0	0	0	0	5	5	3.321928095	USA	Oklahoma	-97.294707	35.632286
0	1	6	2	15	0	0	0	24	5.584962501	USA	Oregon	-120.364917	43.893052
2	0	0	0	0	0	0	2	4	3	USA	Pennsylvania	-77.517613	41.07496
0	0	0	2	0	0	0	1	3	2.584962501	USA	Puerto Rico	-66.425738	18.292076
0	0	1	0	0	0	0	0	1	1	USA	South Dakota	-100.127891	44.659686
0	0	0	4	2	0	0	0	6	3.584962501	USA	Tennessee	-87.296322	35.83059
1	0	1	0	0	0	0	0	2	2	USA	Texas	-99.180975	31.745969
0	0	1	0	0	0	0	0	1	1	USA	Virginia	-79.081383	37.604598
3	0	0	0	0	0	0	17	20	5.321928095	USA	Washington	-119.969921	47.303933
6	0	41	2	0	0	236	4	289	9.174925683	USA	Wisconsin	-89.604637	45.078346
2	0	11	4	0	0	0	11	28	5.807354922	USA	Wyoming	-106.93489	43.170237
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
