ID	Abundance	Position	Gene
cd-1	262	North America	FliC
cd-2	221	North America	MgtB
cd-3	349	North America	MisL
cd-4	1	North America	SpvC
cd-5	73	North America	SseI
cd-6	125	North America	IacP
cd-7	0	South America	FliC
cd-8	2	South America	MgtB
cd-9	4	South America	MisL
cd-10	0	South America	SpvC
cd-11	0	South America	SseI
cd-12	5	South America	IacP
cd-13	9	Europe	FliC
cd-14	131	Europe	MgtB
cd-15	3	Europe	MisL
cd-16	0	Europe	SpvC
cd-17	2	Europe	SseI
cd-18	19	Europe	IacP
cd-19	7	Asia	FliC
cd-20	32	Asia	MgtB
cd-21	12	Asia	MisL
cd-22	0	Asia	SpvC
cd-23	2	Asia	SseI
cd-24	7	Asia	IacP
cd-25	0	Africa	FliC
cd-26	0	Africa	MgtB
cd-27	0	Africa	MisL
cd-28	0	Africa	SpvC
cd-29	0	Africa	SseI
cd-30	1	Africa	IacP
cd-31	0	Oceania	FliC
cd-32	2	Oceania	MgtB
cd-33	17	Oceania	MisL
cd-34	0	Oceania	SpvC
cd-35	0	Oceania	SseI
cd-36	1	Oceania	IacP
