barA	sirA	cas1	cas2	cas3	cas5	crp	hfq	hns	csrA	pie-r	Position
8809	8810	7409	7399	9073	7808	8809	8809	8809	10143	4.934 	USA_TX
7305	7305	6395	6391	8200	7783	7303	7305	7305	9556	4.874 	USA_CA
6261	6260	6023	6019	7065	7268	6261	6261	6260	8393	4.820 	USA_GA
6216	6216	5499	5494	6660	6107	6216	6216	6216	7639	4.796 	USA_NC
4688	4688	4470	4467	4987	5159	4686	4688	4688	6465	4.690 	USA_MN
5166	5163	5023	5020	5339	5489	5166	5166	5166	6352	4.725 	USA_NY
3790	3788	3478	3476	4122	4043	3790	3790	3790	5157	4.594 	USA_PA
3367	3367	2978	2976	3911	3721	3367	3367	3367	4940	4.549 	USA_VA
2773	2773	2449	2448	2799	3145	2773	2773	2773	4464	4.465 	USA_MD
3557	3557	2950	2946	3651	3165	3557	3557	3557	4280	4.541 	USA_TN
3094	3094	2694	2693	3591	3391	3094	3094	3094	4233	4.506 	USA_OH
2663	2663	2521	2522	3038	3180	2663	2663	2663	4019	4.456 	USA_WA
3145	3145	2642	2640	3311	2860	3145	3145	3145	3880	4.492 	USA_IL
2974	2974	2443	2442	3030	2626	2974	2974	2974	3686	4.464 	USA_WI
2331	2331	1955	1954	2890	2782	2331	2331	2331	3647	4.396 	USA_FL
2884	2885	2740	2738	2871	2753	2886	2886	2886	3057	4.456 	Canada_BC
2838	2838	2556	2556	2807	2555	2838	2838	2838	3139	4.444 	Canada_Ontario
2632	2632	2510	2510	2618	2509	2632	2632	2632	3072	4.421 	Canada_Quebec
951	951	837	837	946	836	951	951	951	1002	3.964 	Canada_Manitoba
254	254	243	243	252	243	254	254	254	267	3.401 	Canada_Alberta
32	32	30	30	32	30	32	32	32	33	2.498 	Canada_Newfoundland
2992	2992	2709	2708	3422	3782	2992	2992	2992	4451	4.506 	United Kingdom
1412	1413	1296	1288	1414	1325	1413	1413	1413	1457	4.141 	China_guangdong
418	418	380	380	521	437	418	418	418	597	3.644 	China_taiwan
358	359	342	342	361	347	359	359	359	365	3.550 	China_zhejiang
299	299	290	290	300	292	299	299	299	301	3.472 	China_jilin
274	274	266	266	271	267	274	274	274	276	3.434 	China_shandong
248	248	243	243	247	245	248	248	248	250	3.392 	China_henan
243	243	223	223	244	224	243	243	243	245	3.375 	China_shanxi
132	132	129	129	132	131	132	132	132	134	3.119 	China_xianggang
98	98	95	95	98	96	98	98	98	99	2.988 	China_fujian
80	80	78	78	80	79	80	80	80	80	2.900 	China_hunan
42	42	38	38	39	38	42	42	42	42	2.607 	China_guangxi
30	30	28	28	30	28	30	30	30	30	2.468 	China_jiangsu
26	26	26	26	26	26	26	26	26	26	2.415 	China_liaoning
20	20	20	20	21	20	20	20	20	21	2.305 	China_beijing
1723	1723	1459	1459	1614	1503	1723	1723	1723	2341	4.230 	Chile
1938	1938	1624	1624	1891	1710	1938	1937	1938	2120	4.271 	Brazil
1567	1567	1265	1252	1651	1416	1567	1567	1567	2061	4.190 	Mexico
1578	1577	1504	1504	1570	1504	1578	1578	1578	1633	4.193 	Germany
775	775	767	767	774	770	775	775	775	852	3.892 	Australia
585	588	549	549	594	593	587	587	588	788	3.779 	India
660	660	659	659	660	660	660	660	660	724	3.824 	South Africa
530	530	486	470	603	553	530	530	530	663	3.734 	Nigeria
283	283	230	230	290	262	283	283	283	364	3.446 	Viet Nam
357	357	355	355	356	356	357	357	357	358	3.552 	Singapore
195	195	179	179	217	277	195	195	195	346	3.337 	Ethiopia
231	231	217	217	236	256	231	231	231	295	3.376 	Thailand
255	255	254	254	255	254	255	255	255	255	3.406 	Fiji
179	179	158	158	198	177	179	179	179	253	3.265 	Indonesia
190	190	179	179	191	205	190	190	190	220	3.284 	Colombia
189	189	165	165	199	185	189	189	189	218	3.273 	Bangladesh
203	203	200	200	208	209	203	203	203	41	3.273 	Ecuador
211	211	170	170	210	170	211	211	211	211	3.298 	Ireland
180	180	174	174	180	174	180	180	180	180	3.251 	Switzerland
177	177	130	130	177	130	177	177	177	179	3.212 	Japan
155	155	153	153	160	171	155	155	155	174	3.200 	Peru
142	141	134	134	140	134	142	142	142	295	3.189 	Italy
87	87	78	77	91	86	87	87	87	135	2.955 	Turkey
122	122	114	114	123	115	122	122	122	128	3.081 	Pakistan
65	65	60	60	65	60	65	65	65	127	2.843 	Cambodia
117	117	112	112	117	114	117	117	117	120	3.064 	Spain
106	106	105	105	107	105	106	106	106	117	3.029 	South Korea
106	106	102	102	106	103	106	106	106	109	3.022 	France
107	107	106	106	107	107	107	107	107	109	3.029 	Malaysia
98	98	98	98	98	98	98	98	98	107	2.995 	Democratic Republic of the Congo
