»ùÒò	BarA	SirA	Cas1	Cas2	Cas3	Cas5	CRP	hfq	hns	csrA
Enteritidis	0.871988241	0.872116061	0.86955966	0.86955966	0.873010801	0.909247779	0.872179971	0.872179971	0.872179971	1
Typhimurium	0.818879182	0.818879182	0.816961432	0.816748349	0.820583848	0.888237801	0.818559557	0.818879182	0.818879182	1
Kentucky	0.789652248	0.789652248	0.78201866	0.781776324	0.885375015	0.878710772	0.789652248	0.789652248	0.78953108	0.999878832
Infantis	0.835111168	0.835111168	0.834725614	0.834597095	0.83781005	0.895514715	0.835111168	0.835111168	0.835111168	0.999871482
Newport	0.867551622	0.867551622	0.743952802	0.743952802	0.789380531	0.767846608	0.867551622	0.867551622	0.867551622	1
Heidelberg	0.76907001	0.7687217	0.7687217	0.7687217	0.774294671	0.91954023	0.76907001	0.76907001	0.76907001	1
Anatum	0.83713355	0.83713355	0.836771625	0.836771625	0.854867897	0.88961274	0.83713355	0.83713355	0.83713355	1
Montevideo	0.823500731	0.823500731	0.818625061	0.818625061	0.89127255	0.888347148	0.823500731	0.823500731	0.823500731	1
Derby	0.809670782	0.809670782	0.807613169	0.807613169	0.889403292	0.901234568	0.809670782	0.809670782	0.809670782	1
Schwarzengrund	0.795414462	0.795414462	0.794826573	0.794826573	0.881834215	0.882422105	0.795414462	0.795414462	0.795414462	1
