Table S4. Phage lifestyles.	
UViGs	Type
IMGVR_UViG_3300026224_000027	Temperate
IMGVR_UViG_3300048707_000129	-
IMGVR_UViG_3300037698_000426	Virulent
IMGVR_UViG_3300035501_001559	-
IMGVR_UViG_3300043084_000283	-
IMGVR_UViG_3300043106_000203	-
IMGVR_UViG_3300043013_000122	-
IMGVR_UViG_3300035510_000894	-
IMGVR_UViG_3300035511_000659	-
IMGVR_UViG_3300043090_000154	-
IMGVR_UViG_3300043016_000087	-
IMGVR_UViG_3300035512_000920	-
IMGVR_UViG_3300000114_000748	Temperate
IMGVR_UViG_3300000839_000743	Temperate
IMGVR_UViG_3300007961_000223	Virulent
IMGVR_UViG_3300022661_003023	-
IMGVR_UViG_3300037249_002284	Virulent
IMGVR_UViG_3300037249_002393	Virulent
IMGVR_UViG_3300037249_001554	Virulent
IMGVR_UViG_3300037400_005165	Virulent
IMGVR_UViG_3300037400_005994	-
IMGVR_UViG_3300031760_008441	Virulent
IMGVR_UViG_3300031853_002273	Virulent
IMGVR_UViG_3300018478_000164	Temperate
IMGVR_UViG_3300018486_000217	Temperate
IMGVR_UViG_3300018486_000208	Temperate
IMGVR_UViG_3300018471_000184	Temperate
IMGVR_UViG_3300018479_000191	Temperate
IMGVR_UViG_3300018470_000077	Temperate
IMGVR_UViG_3300018488_000300	Virulent
IMGVR_UViG_3300032576_000184	Filtered
IMGVR_UViG_2061766007_004289	Temperate
IMGVR_UViG_3300009869_000141	-
IMGVR_UViG_3300010266_000216	Virulent
IMGVR_UViG_3300010266_000361	Virulent
IMGVR_UViG_3300012823_000032	Virulent
IMGVR_UViG_3300011989_000452	-
IMGVR_UViG_3300012007_000007	Virulent
IMGVR_UViG_3300027374_000447	-
IMGVR_UViG_3300005461_000861	-
IMGVR_UViG_3300027542_000673	-
IMGVR_UViG_3300005460_000696	-
IMGVR_UViG_3300035427_000071	Temperate
IMGVR_UViG_3300001598_000033	Virulent
IMGVR_UViG_3300028833_000004	Virulent
IMGVR_UViG_3300031992_000206	Virulent
IMGVR_UViG_3300028591_005754	Temperate
IMGVR_UViG_3300028591_003694	Temperate
IMGVR_UViG_3300028591_006923	Virulent
IMGVR_UViG_3300024342_002235	Filtered
IMGVR_UViG_3300024342_001206	Virulent
IMGVR_UViG_3300024345_001394	Virulent
IMGVR_UViG_3300002641_001131	Virulent
IMGVR_UViG_3300001486_000094	Virulent
IMGVR_UViG_3300021431_000076	Virulent
IMGVR_UViG_3300021255_005780	Temperate
IMGVR_UViG_3300035429_000143	-
IMGVR_UViG_3300028832_005410	Virulent
IMGVR_UViG_3300019373_000247	Virulent
IMGVR_UViG_3300019374_000256	-
IMGVR_UViG_3300018878_005614	Temperate
IMGVR_UViG_3300023371_004529	Temperate
IMGVR_UViG_3300024272_005596	Temperate
IMGVR_UViG_3300018494_004855	Temperate
IMGVR_UViG_3300022661_003942	Temperate
IMGVR_UViG_3300024269_004768	Temperate
IMGVR_UViG_3300018475_004704	Temperate
IMGVR_UViG_3300024270_005006	Temperate
IMGVR_UViG_3300018495_004578	Temperate
IMGVR_UViG_3300022660_003241	Temperate
IMGVR_UViG_3300022660_000179	Temperate
IMGVR_UViG_3300024268_004675	Temperate
IMGVR_UViG_3300024268_004826	Temperate
IMGVR_UViG_3300018493_004190	Temperate
IMGVR_UViG_3300018493_004395	Temperate
IMGVR_UViG_3300022753_003554	Temperate
IMGVR_UViG_3300022753_003096	Temperate
IMGVR_UViG_3300024303_004375	Temperate
IMGVR_UViG_3300036369_000020	-
IMGVR_UViG_3300032128_000018	-
IMGVR_UViG_3300036370_000023	-
IMGVR_UViG_3300036438_000106	-
IMGVR_UViG_3300032147_000017	-
IMGVR_UViG_3300037699_000020	Filtered
IMGVR_UViG_3300037694_000046	Filtered
IMGVR_UViG_3300031790_000076	Filtered
IMGVR_UViG_3300036291_000018	Filtered
IMGVR_UViG_3300037700_000038	Filtered
IMGVR_UViG_3300036292_000013	Filtered
IMGVR_UViG_3300030640_000323	-
IMGVR_UViG_3300036550_000064	-
IMGVR_UViG_3300036470_000067	Temperate
IMGVR_UViG_3300036471_000084	-
IMGVR_UViG_3300023705_000145	-
IMGVR_UViG_3300021306_000119	Virulent
IMGVR_UViG_3300010261_000167	Temperate
IMGVR_UViG_3300010280_000349	Temperate
IMGVR_UViG_3300010275_000173	Temperate
IMGVR_UViG_3300010262_000174	Virulent
IMGVR_UViG_3300014024_000065	Temperate
IMGVR_UViG_3300007120_000087	Temperate
IMGVR_UViG_3300008755_000204	Virulent
IMGVR_UViG_7000000109_000219	Temperate
IMGVR_UViG_3300007107_000299	Temperate
IMGVR_UViG_3300007107_000268	Temperate
IMGVR_UViG_3300007300_000195	-
IMGVR_UViG_7000000128_000321	Temperate
IMGVR_UViG_3300007125_000359	Temperate
IMGVR_UViG_7000000276_000109	Temperate
IMGVR_UViG_3300006254_000191	Temperate
IMGVR_UViG_3300008715_000361	Temperate
IMGVR_UViG_7000000741_000107	-
IMGVR_UViG_3300008518_000126	Temperate
IMGVR_UViG_7000000508_000332	Temperate
IMGVR_UViG_3300008734_000229	Temperate
IMGVR_UViG_3300007979_000148	Temperate
IMGVR_UViG_7000000393_000190	Temperate
IMGVR_UViG_3300008537_000185	Temperate
IMGVR_UViG_7000000001_000224	Temperate
IMGVR_UViG_3300006289_000219	Temperate
IMGVR_UViG_7000000422_000277	Temperate
IMGVR_UViG_3300008611_000325	Temperate
IMGVR_UViG_3300008611_000284	Temperate
IMGVR_UViG_7000000042_000179	Temperate
IMGVR_UViG_3300006477_000194	Temperate
IMGVR_UViG_7000000025_000259	Temperate
IMGVR_UViG_3300006678_000241	Temperate
IMGVR_UViG_7000000342_000175	Temperate
IMGVR_UViG_3300008091_000195	Temperate
IMGVR_UViG_7000000073_000236	Temperate
IMGVR_UViG_7000000073_000190	Temperate
IMGVR_UViG_3300006524_000296	Temperate
IMGVR_UViG_7000000405_000184	Temperate
IMGVR_UViG_3300008581_000206	Temperate
IMGVR_UViG_7000000086_000171	Temperate
IMGVR_UViG_7000000127_000260	Temperate
IMGVR_UViG_3300007124_000139	Temperate
IMGVR_UViG_3300007124_000295	Temperate
IMGVR_UViG_3300007186_000166	Temperate
IMGVR_UViG_3300008283_000172	Virulent
IMGVR_UViG_7000000527_000127	Temperate
IMGVR_UViG_3300008269_000176	Virulent
IMGVR_UViG_7000000351_000171	Temperate
IMGVR_UViG_3300007966_000181	Temperate
IMGVR_UViG_7000000503_000216	Temperate
IMGVR_UViG_3300008136_000405	Temperate
IMGVR_UViG_7000000604_000210	Temperate
IMGVR_UViG_3300008138_000306	Temperate
IMGVR_UViG_3300008636_000127	Temperate
IMGVR_UViG_3300007079_000147	Temperate
IMGVR_UViG_3300008273_000217	Temperate
IMGVR_UViG_3300008057_000050	Temperate
IMGVR_UViG_3300011982_000511	Temperate
IMGVR_UViG_7000000523_000132	-
IMGVR_UViG_3300008754_000140	Temperate
IMGVR_UViG_3300012459_000004	Temperate
IMGVR_UViG_3300013214_000002	Virulent
IMGVR_UViG_3300030311_000018	Virulent
IMGVR_UViG_3300023491_000177	Virulent
IMGVR_UViG_3300023497_000303	Temperate
IMGVR_UViG_3300023719_000262	Temperate
IMGVR_UViG_3300023721_000130	Temperate
IMGVR_UViG_3300023493_000249	Temperate
IMGVR_UViG_3300023488_000135	-
IMGVR_UViG_3300023498_000278	-
IMGVR_UViG_3300023499_000140	Temperate
IMGVR_UViG_3300023495_000153	-
IMGVR_UViG_3300029343_000405	Virulent
IMGVR_UViG_3300029336_000384	Temperate
IMGVR_UViG_3300029441_000398	Temperate
IMGVR_UViG_3300029431_000155	Temperate
IMGVR_UViG_3300029776_000243	Temperate
IMGVR_UViG_3300029776_000157	Temperate
IMGVR_UViG_3300029776_000257	Temperate
IMGVR_UViG_3300029335_000189	Temperate
IMGVR_UViG_3300029335_000301	Temperate
IMGVR_UViG_3300029335_000003	Temperate
IMGVR_UViG_3300029785_000218	Temperate
IMGVR_UViG_3300029785_000185	Temperate
IMGVR_UViG_3300029764_000204	Temperate
IMGVR_UViG_3300029424_000190	Temperate
IMGVR_UViG_3300029432_000304	Virulent
IMGVR_UViG_3300029784_000216	Virulent
IMGVR_UViG_3300029361_000293	Temperate
IMGVR_UViG_3300029361_000310	-
IMGVR_UViG_3300029358_000236	Temperate
IMGVR_UViG_3300029346_000222	Temperate
IMGVR_UViG_3300029404_000200	Temperate
IMGVR_UViG_3300029676_000167	Temperate
IMGVR_UViG_3300029354_000259	Temperate
IMGVR_UViG_3300029779_000314	-
IMGVR_UViG_3300029359_000301	-
IMGVR_UViG_3300029443_000390	Temperate
IMGVR_UViG_3300029791_000425	Temperate
IMGVR_UViG_3300029794_000394	Temperate
IMGVR_UViG_3300029434_000353	Temperate
IMGVR_UViG_3300029796_000457	Temperate
IMGVR_UViG_3300029382_000515	-
IMGVR_UViG_3300029439_000229	-
IMGVR_UViG_3300029378_000003	Virulent
IMGVR_UViG_3300029376_000221	Virulent
IMGVR_UViG_3300029386_000418	Temperate
IMGVR_UViG_3300029386_000001	Virulent
IMGVR_UViG_3300029384_000351	Temperate
IMGVR_UViG_3300029385_000331	-
IMGVR_UViG_3300029385_000396	Temperate
IMGVR_UViG_3300029385_000001	Virulent
IMGVR_UViG_3300029393_000226	Temperate
IMGVR_UViG_3300029393_000186	Virulent
IMGVR_UViG_3300029389_000368	Temperate
IMGVR_UViG_3300029394_000346	Temperate
IMGVR_UViG_3300029388_000130	Temperate
IMGVR_UViG_3300029493_000230	Temperate
IMGVR_UViG_3300029315_000136	Temperate
IMGVR_UViG_3300029315_000108	Temperate
IMGVR_UViG_3300029396_000129	Temperate
IMGVR_UViG_3300029766_000134	Temperate
IMGVR_UViG_3300029338_000316	-
IMGVR_UViG_3300029338_000344	Temperate
IMGVR_UViG_3300029343_000469	Temperate
IMGVR_UViG_3300029342_000410	Temperate
IMGVR_UViG_3300029340_000369	Temperate
IMGVR_UViG_3300029444_000386	Temperate
IMGVR_UViG_3300029445_000364	-
IMGVR_UViG_3300029788_000266	-
IMGVR_UViG_3300029362_000303	Temperate
IMGVR_UViG_3300029377_000413	Temperate
IMGVR_UViG_3300029439_000176	Temperate
IMGVR_UViG_3300029379_000245	Temperate
IMGVR_UViG_3300029374_000336	Temperate
IMGVR_UViG_3300029339_000372	Temperate
IMGVR_UViG_3300029790_000331	Temperate
