Table S3. Phage taxonomy.				
Phage ID	E-value	Score	Taxonomy/LastCommonAncestor	
IMGVR_UViG_2049941000_000853|2049941000|900MB_Assembly_NODE_993161_len_124671_cov_7_909995|20618-69220	1.60E-10	296.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_2049941000_000884|2049941000|900MB_Assembly_NODE_1033563_len_317397_cov_8_807343|58284-130484	6.00E-06	873.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_2061766007_000995|2061766007|rumenHiSeq_NODE_947269_len_134599_cov_4_108210	4.00E-18	257.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_2061766007_004337|2061766007|rumenHiSeq_NODE_3799056_len_415568_cov_6_424674|287531-376260	3.00E-23	525.4	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_2065487013_000020|2065487013|FGTW_contig30426	6.40E-16	529.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300000281_000125|3300000281|EM227_1000143|796-60543	1.10E-06	1177.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300000291_000075|3300000291|EM293_1000358	8.60E-09	201.2	Viruses	
IMGVR_UViG_3300000553_000234|3300000553|TBL_comb47_HYPODRAFT_10001582	2.40E-35	223.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300000872_000009|3300000872|JGI12365J12839_1000347	9.60E-74	255.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300000888_000011|3300000888|JGI12290J12831_1000573	4.50E-06	492.6	Viruses	
IMGVR_UViG_3300001035_000002|3300001035|JGI11692J13181_100093	1.50E-36	508	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300001580_001810|3300001580|Draft_10000138|5680-66336	7.70E-17	304	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300001598_000033|3300001598|EMG_10000054	3.70E-14	658.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300001605_001391|3300001605|Draft_10006502|1-12196	4.50E-13	171	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300001682_000329|3300001682|SAHD_10001037	3.30E-07	689	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300001688_000329|3300001688|SAHDGT3000_10001037	2.50E-06	689	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300001865_000274|3300001865|JGI2065J20421_1000033|164142-259732	2.50E-06	279.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300002042_000005|3300002042|LBB12012_10000185	6.80E-30	333.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300002219_000844|3300002219|SCADCLC_10000649|20008-46382	3.50E-17	556.2	Viruses	
IMGVR_UViG_3300002225_000072|3300002225|JGI24723J26617_10003420	1.00E-14	502.5	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300002460_002167|3300002460|C687J35021_10007519	1.60E-16	304.3	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300002514_008238|3300002514|JGI25133J35611_10000010	1.90E-43	703.2	Viruses	
