ID	source	start	end	strand
ID_1	IMGVR_UViG_3300041411	1	420	+
ID_2	IMGVR_UViG_3300041411	491	1147	+
ID_3	IMGVR_UViG_3300041411	1151	1531	+
ID_4	IMGVR_UViG_3300041411	1845	5063	+
ID_5	IMGVR_UViG_3300041411	5067	5405	+
ID_6	IMGVR_UViG_3300041411	5416	6168	+
ID_7	IMGVR_UViG_3300041411	6171	6935	+
ID_8	IMGVR_UViG_3300041411	6961	7170	+
ID_9	IMGVR_UViG_3300041411	7542	7754	+
ID_10	IMGVR_UViG_3300041411	7738	8100	+
ID_11	IMGVR_UViG_3300041411	8237	9520	+
ID_12	IMGVR_UViG_3300041411	10002	10571	-
ID_13	IMGVR_UViG_3300041411	10746	10988	+
ID_14	IMGVR_UViG_3300041411	11096	11365	-
ID_15	IMGVR_UViG_3300041411	11396	11989	-
ID_16	IMGVR_UViG_3300041411	12041	12499	-
ID_17	IMGVR_UViG_3300041411	12646	12822	+
ID_18	IMGVR_UViG_3300041411	12797	13819	+
ID_19	IMGVR_UViG_3300041411	13816	14697	+
ID_20	IMGVR_UViG_3300041411	14794	15141	+
ID_21	IMGVR_UViG_3300041411	15197	15793	+
ID_22	IMGVR_UViG_3300041411	16206	19484	+
ID_23	IMGVR_UViG_3300041411	19484	19780	+
ID_24	IMGVR_UViG_3300041411	19790	20515	+
ID_25	IMGVR_UViG_3300041411	20572	21093	+
ID_26	IMGVR_UViG_3300041411	21093	21800	+
ID_27	IMGVR_UViG_3300041411	21858	22262	+
ID_28	IMGVR_UViG_3300041411	22259	22780	+
ID_29	IMGVR_UViG_3300041411	22817	24655	-
ID_30	IMGVR_UViG_3300041411	24853	24960	+
ID_31	IMGVR_UViG_3300041411	25246	25494	-
ID_32	IMGVR_UViG_3300041411	25556	26362	-
ID_33	IMGVR_UViG_3300041411	26601	26804	-
ID_34	IMGVR_UViG_3300041411	27720	28316	-
ID_35	IMGVR_UViG_3300041411	28524	29327	-
ID_36	IMGVR_UViG_3300041411	29952	30107	-
ID_37	IMGVR_UViG_3300041411	30483	30950	-
ID_38	IMGVR_UViG_3300041411	31054	31296	+
ID_39	IMGVR_UViG_3300041411	31419	31688	+
ID_40	IMGVR_UViG_3300041411	31696	31872	-
ID_41	IMGVR_UViG_3300041411	31877	32062	-
ID_42	IMGVR_UViG_3300041411	32166	32393	+
ID_43	IMGVR_UViG_3300041411	32472	33122	-
ID_44	IMGVR_UViG_3300041411	33136	33351	+
