Table S8. Alignment of virulence genes carried by S. enterica and phages via BLAST.			
Query Sequence ID	Subject Sequence ID	Identity	Coverage
IMGVR_UViG_3300011573_000024	GCA_006027275.1|AAEJQU010000109.1_2|fliC	97.761	100
IMGVR_UViG_3300011573_000024	GCA_006490175.1|AAFLYE010000065.1_2|fliC	97.761	100
IMGVR_UViG_3300011660_000005	GCA_006027275.1|AAEJQU010000109.1_2|fliC	100	100
IMGVR_UViG_3300011660_000005	GCA_006490175.1|AAFLYE010000065.1_2|fliC	100	100
IMGVR_UViG_3300031413_000351	GCA_011108135.1|AAPHJN010000075.1_2|MgtB	79.083	100
IMGVR_UViG_3300031413_000351	GCA_016915815.1|JADORY010000022.1_7|MgtB	79.083	100
IMGVR_UViG_3300031413_000351	GCA_005682055.1|AADNVS010000028.1_9|MgtB	79.083	100
IMGVR_UViG_3300031413_000351	GCA_007180875.1|AAHFXM010000031.1_5|MgtB	79.266	100
IMGVR_UViG_3300031084_000152	GCA_007778285.1|AAIVNF010000059.1_12|MisL	48.333	49
IMGVR_UViG_3300031084_000152	GCA_006069295.1|AAEMQI010000123.1_2|MisL	45.866	49
IMGVR_UViG_3300031084_000152	GCA_019497985.1|ABBRTU010000005.1_64|MisL	45.168	49
IMGVR_UViG_3300031084_000152	GCA_024392255.1|ABHFMS010000003.1_59|MisL	45.924	49
IMGVR_UViG_3300031084_000152	GCA_005443355.1|AACWUH010000006.1_66|MisL	46.421	49
			
