Table S11. Phage AMGs identified by DRAMV.												
Viral gene ID	Viral ID	Gene Pos	Start Pos	End Pos	Strandedness	Rank	KEGG ID	KEGG Hit	Auxiliary Score	Transposon	AMG Flags	AMG
IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1_10	IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1	10	9332	9820	1	D			1	FALSE	M	AMG
IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1_13	IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1	13	"11,867"	"12,733"	1	D			1	FALSE	M	AMG
IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1_19	IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1	19	"17,634"	"18,602"	1	D			1	FALSE	M	AMG
IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1_83	IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1	83	"65,670"	"66,368"	-1	D			1	FALSE	MKP	AMG
IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1_89	IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1	89	"71,518"	"72,000"	1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	1	FALSE	M	AMG
IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1_128	IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1	128	"96,797"	"98,710"	1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	1	FALSE	M	AMG
IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1_139	IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1	139	"103,603"	"104,733"	1	C	K09882	cobaltochelatase CobS [EC:6.6.1.2]	1	FALSE	M	AMG
IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1_166	IMGVR_UViG_2061766007_000995_2061766007_rumenHiSeq_NODE_947269_len_134599_cov_4_108210__full-cat_1	166	"127,783"	"128,361"	1	D			1	FALSE	M	AMG
IMGVR_UViG_3300001598_000033_3300001598_EMG_10000054__full-cat_1_7	IMGVR_UViG_3300001598_000033_3300001598_EMG_10000054__full-cat_1	7	3492	4202	1	C	K06920	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	2	FALSE	MKF	AMG
IMGVR_UViG_3300001598_000033_3300001598_EMG_10000054__full-cat_1_8	IMGVR_UViG_3300001598_000033_3300001598_EMG_10000054__full-cat_1	8	4313	5032	1	C	K06920	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	2	FALSE	MKF	AMG
