Table S12. Phage AMGs identified by VIBRANT.							
Viral gene ID	AMG	KO	KO Name	KO E-value	KO Score	KO V-score	
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_1							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_2							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_3							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_4		K06941	rlmN; 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]	1.30E-20	71.4	0.06	
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_5		K03563	csrA; carbon storage regulator	1.80E-28	96.6	0.07	
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_6							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_7							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_8							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_9							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_10							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_11							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_12							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_13							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_14							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_15							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_16							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_17							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_18		K17680	PEO1; twinkle protein [EC:3.6.4.12]	4.40E-42	142.2	2.89	
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_19							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_20							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_21							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_22							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_23							
