Table S9. Prediction of promoters and terminators.									
			Terminator			Promoter			
AMG	UViG	Length	Chain	Start	Length	Promoter Pos.	LDF	-10 box at pos.	-35 box at pos.
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	1850	9.22	1835	1810
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	4048	7.41	4033	4013
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"27,099"	7.32	"27,084"	"27,060"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"52,294"	7.32	"52,279"	"52,260"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"45,667"	6.96	"45,652"	"45,632"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	2712	6.76	2697	2675
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	1299	6.12	1283	1263
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"43,871"	6.11	"43,856"	"43,835"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	686	5.98	671	649
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	8518	5.9	8503	8483
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"12,291"	5.82	"12,276"	"12,253"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"21,515"	5.78	"21,500"	"21,479"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	5582	5.75	5567	5548
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"46,197"	5.68	"46,182"	"46,161"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"27,960"	5.62	"27,945"	"27,928"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"50,641"	5.62	"50,626"	"50,609"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	2288	5.52	2273	2252
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"39,906"	5.49	"39,891"	"39,873"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"47,856"	5.47	"47,841"	"47,824"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"38,870"	5.33	"38,855"	"38,835"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"14,955"	5.32	"14,940"	"14,922"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"44,759"	5.14	"44,744"	"44,719"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"15,639"	5.12	"15,624"	"15,602"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	3029	5.06	3014	2990
