Table S2. Metadata of 1839 filtered phage genomes.							
UViGs	Viral OTUs	Virulence genes	Isolation Source	Country	Bit Score	E-value	Identities
IMGVR_UViG_3300026224_000027	vOTU_08595089	bcfC	Environmental;Air;Outdoor Air;Unclassified	North America	97.8265	2.31E-18	27.32919255
IMGVR_UViG_3300048707_000129	vOTU_00671193	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	213.386	8.05E-54	27.21962617
IMGVR_UViG_3300037698_000426	vOTU_00625411	mgtC	Host-associated;Mammals;Digestive system;Stomach	North America	109.768	6.31E-26	49.56521739
IMGVR_UViG_3300035501_001559	vOTU_06521750	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	211.075	5.35E-53	27.01664533
IMGVR_UViG_3300043084_000283	vOTU_06521750	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	211.846	2.96E-53	27.01664533
IMGVR_UViG_3300043106_000203	vOTU_06521750	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	214.542	4.33E-54	27.21962617
IMGVR_UViG_3300043013_000122	vOTU_06521750	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	214.542	4.32982e-54	27.21962617
IMGVR_UViG_3300035510_000894	vOTU_06521750	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	214.542	4.32982e-54	27.21962617
IMGVR_UViG_3300035511_000659	vOTU_06521750	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	214.542	4.32982e-54	27.21962617
IMGVR_UViG_3300043090_000154	vOTU_06521750	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	214.542	4.32982e-54	27.21962617
IMGVR_UViG_3300043016_000087	vOTU_00671193	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	214.542	4.32982e-54	27.21962617
IMGVR_UViG_3300035512_000920	vOTU_06521750	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	214.542	4.32982e-54	27.21962617
IMGVR_UViG_3300000114_000748	vOTU_08587155	mgtB	Host-associated;Arthropoda: Insects;Larva;Gut	South America	308.531	2.2443e-87	28.60310421
IMGVR_UViG_3300000839_000743	vOTU_08587155	mgtB	Host-associated;Arthropoda: Insects;Larva;Gut	South America	308.531	2.2443e-87	28.60310421
IMGVR_UViG_3300007961_000223	vOTU_01777146	araB	Host-associated;Mammals;Digestive system;Stomach	North America	62.003	1.82351e-06	22.92358804
IMGVR_UViG_3300022661_003023	vOTU_04076439	araB	Host-associated;Mammals;Digestive system;Large intestine	North America	141.739	1.47374e-34	30.70866142
IMGVR_UViG_3300037249_002284	vOTU_00634149	fliC	Host-associated;Mammals;Digestive system;Stomach	North America	154.836	6.97797e-40	52.12121212
IMGVR_UViG_3300037249_002393	vOTU_06837752	fliC	Host-associated;Mammals;Digestive system;Stomach	North America	165.236	1.24214e-43	50.26455026
IMGVR_UViG_3300037249_001554	vOTU_06836437	fliC	Host-associated;Mammals;Digestive system;Stomach	North America	89.7373	2.37983e-16	55.42168675
IMGVR_UViG_3300037400_005165	vOTU_06874322	fliC	Host-associated;Mammals;Digestive system;Stomach	North America	83.5741	4.40853e-14	49.45054945
IMGVR_UViG_3300037400_005994	vOTU_06871735	mgtC	Host-associated;Mammals;Digestive system;Stomach	North America	94.3597	4.37423e-21	44
IMGVR_UViG_3300031760_008441	vOTU_00568992	fliC	Host-associated;Mammals;Digestive system;Stomach	North America	154.836	6.97797e-40	52.12121212
IMGVR_UViG_3300031853_002273	vOTU_05638282	mgtC	Host-associated;Mammals;Digestive system;Stomach	North America	98.2117	1.30241e-22	45.68965517
IMGVR_UViG_3300018478_000164	vOTU_03377484	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	496.893	6.38763e-164	49.08350305
IMGVR_UViG_3300018486_000217	vOTU_03379454	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	664.07	0	50.71090047
IMGVR_UViG_3300018486_000208	vOTU_03372310	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	869.766	0	48.1402763
IMGVR_UViG_3300018471_000184	vOTU_03372310	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	869.766	0	48.1402763
IMGVR_UViG_3300018479_000191	vOTU_03377484	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	470.315	5.19793e-154	48.72881356
